Season,Season_yr,Tbar,RR
1,1918,9.43,1.52
2,1918,15.92,2.15
3,1918,9.51,2.64
0,1919,4.05,2.20
1,1919,8.97,2.06
2,1919,15.90,1.44
3,1919,8.34,1.46
0,1920,5.45,2.23
1,1920,9.95,1.67
2,1920,14.85,2.83
3,1920,10.18,1.44
0,1921,5.62,1.38
1,1921,9.89,1.20
2,1921,17.58,0.52
3,1921,11.10,1.60
0,1922,5.11,1.88
1,1922,8.84,1.50
2,1922,14.70,2.48
3,1922,8.89,0.92
0,1923,5.49,2.13
1,1923,8.76,2.11
2,1923,16.43,1.02
3,1923,9.01,2.42
0,1924,3.95,1.70
1,1924,8.39,1.96
2,1924,15.86,2.57
3,1924,10.91,2.51
0,1925,5.78,2.47
1,1925,8.77,2.06
2,1925,16.84,2.03
3,1925,9.24,2.35
0,1926,4.78,2.07
1,1926,9.47,1.49
2,1926,16.33,1.92
3,1926,10.36,2.33
0,1927,4.40,1.67
1,1927,9.82,1.47
2,1927,15.39,2.88
3,1927,10.09,2.62
0,1928,4.72,2.28
1,1928,9.16,1.27
2,1928,16.05,1.72
3,1928,10.90,2.03
0,1929,1.85,1.16
1,1929,8.75,0.66
2,1929,16.11,0.89
3,1929,11.70,2.74
0,1930,5.47,2.74
1,1930,8.93,1.20
2,1930,16.46,1.39
3,1930,10.89,2.41
0,1931,4.33,1.53
1,1931,8.67,1.86
2,1931,15.81,2.33
3,1931,10.05,1.58
0,1932,5.13,0.79
1,1932,7.96,2.26
2,1932,16.65,1.77
3,1932,10.22,2.18
0,1933,4.35,1.77
1,1933,10.32,1.76
2,1933,18.09,0.99
3,1933,11.20,1.53
0,1934,3.04,0.63
1,1934,9.32,1.12
2,1934,17.28,1.39
3,1934,11.16,1.38
0,1935,6.90,2.70
1,1935,9.16,1.39
2,1935,17.63,1.97
3,1935,10.95,3.06
0,1936,4.09,2.54
1,1936,9.34,1.17
2,1936,16.31,2.06
3,1936,10.40,2.29
0,1937,6.02,3.02
1,1937,9.41,2.38
2,1937,16.98,1.02
3,1937,10.27,1.74
0,1938,5.12,1.57
1,1938,9.81,0.57
2,1938,16.49,1.53
3,1938,11.74,1.96
0,1939,5.27,2.58
1,1939,9.33,1.57
2,1939,16.31,2.00
3,1939,11.35,2.82
0,1940,1.76,1.72
1,1940,10.12,1.69
2,1940,16.85,0.82
3,1940,10.61,2.87
0,1941,3.35,1.72
1,1941,7.90,1.57
2,1941,16.84,2.94
3,1941,11.25,1.15
0,1942,2.52,1.46
1,1942,9.49,1.76
2,1942,16.66,0.97
3,1942,10.60,1.70
0,1943,6.22,2.34
1,1943,10.85,0.95
2,1943,16.70,1.11
3,1943,10.71,1.97
0,1944,4.79,1.06
1,1944,9.78,0.48
2,1944,16.88,1.23
3,1944,10.23,2.70
0,1945,4.01,1.36
1,1945,11.04,0.95
2,1945,16.59,1.90
3,1945,11.73,1.57
0,1946,5.06,1.90
1,1946,9.34,1.68
2,1946,15.74,2.25
3,1946,11.37,2.52
0,1947,1.47,1.42
1,1947,9.56,2.33
2,1947,18.49,0.85
3,1947,11.82,0.68
0,1948,5.74,2.04
1,1948,10.75,1.62
2,1948,15.97,1.32
3,1948,11.11,1.72
0,1949,6.06,1.63
1,1949,9.45,1.35
2,1949,17.86,0.90
3,1949,12.45,3.06
0,1950,5.72,1.61
1,1950,9.78,1.21
2,1950,17.15,2.64
3,1950,10.14,2.42
0,1951,3.52,2.45
1,1951,8.02,2.52
2,1951,16.25,1.98
3,1951,11.40,2.78
0,1952,4.58,1.21
1,1952,10.92,1.98
2,1952,17.05,1.13
3,1952,8.69,2.58
0,1953,3.64,1.43
1,1953,9.51,1.22
2,1953,16.24,1.89
3,1953,11.22,1.80
0,1954,4.80,1.19
1,1954,8.99,1.45
2,1954,14.96,2.53
3,1954,11.28,2.30
0,1955,4.19,2.01
1,1955,8.38,1.56
2,1955,17.65,0.77
3,1955,10.55,1.83
0,1956,3.45,1.68
1,1956,9.21,0.67
2,1956,15.19,2.40
3,1956,10.50,1.37
0,1957,6.05,2.30
1,1957,10.26,0.86
2,1957,16.94,2.20
3,1957,10.64,2.05
0,1958,4.73,2.25
1,1958,8.37,1.22
2,1958,16.17,2.58
3,1958,11.45,2.42
0,1959,4.13,1.67
1,1959,10.64,1.39
2,1959,17.89,1.32
3,1959,12.16,1.37
0,1960,5.03,2.47
1,1960,10.21,0.95
2,1960,16.27,2.18
3,1960,11.05,3.84
0,1961,5.45,2.39
1,1961,10.54,1.13
2,1961,16.37,1.48
3,1961,11.47,2.13
0,1962,4.18,2.11
1,1962,7.70,1.25
2,1962,15.44,1.36
3,1962,10.24,1.87
0,1963,-0.00,1.08
1,1963,9.26,1.98
2,1963,15.76,1.95
3,1963,11.36,2.43
0,1964,3.67,0.58
1,1964,9.53,2.29
2,1964,16.51,1.51
3,1964,10.96,0.81
0,1965,3.84,1.22
1,1965,9.28,1.59
2,1965,15.40,2.11
3,1965,9.94,2.21
0,1966,5.07,2.42
1,1966,9.26,1.74
2,1966,16.05,2.50
3,1966,10.65,2.31
0,1967,5.74,1.79
1,1967,9.44,2.14
2,1967,16.68,1.76
3,1967,10.76,2.42
0,1968,3.61,1.69
1,1968,8.52,1.58
2,1968,15.67,2.28
3,1968,11.32,2.71
0,1969,3.39,2.14
1,1969,8.19,1.69
2,1969,16.43,1.58
3,1969,11.21,0.94
0,1970,3.67,2.14
1,1970,8.19,1.33
2,1970,16.50,2.38
3,1970,11.40,2.53
0,1971,4.33,1.55
1,1971,8.48,1.68
2,1971,15.92,2.58
3,1971,10.91,1.34
0,1972,5.13,1.60
1,1972,8.95,1.72
2,1972,14.75,1.02
3,1972,9.92,1.23
0,1973,4.89,1.16
1,1973,8.59,1.53
2,1973,16.24,2.03
3,1973,10.21,1.16
0,1974,5.71,2.43
1,1974,8.66,0.60
2,1974,15.19,2.11
3,1974,9.24,3.87
0,1975,6.75,1.73
1,1975,7.99,1.72
2,1975,17.35,1.06
3,1975,10.05,1.91
0,1976,4.98,0.76
1,1976,8.80,0.56
2,1976,18.48,0.85
3,1976,10.34,3.37
0,1977,3.65,2.55
1,1977,8.60,1.48
2,1977,14.87,2.43
3,1977,10.76,1.21
0,1978,4.16,2.04
1,1978,8.48,1.84
2,1978,15.07,1.71
3,1978,11.61,0.52
0,1979,2.04,2.64
1,1979,7.91,3.02
2,1979,15.47,0.89
3,1979,10.72,1.36
0,1980,4.86,1.88
1,1980,8.46,1.22
2,1980,15.25,2.35
3,1980,10.19,2.09
0,1981,4.48,0.97
1,1981,9.41,2.55
2,1981,15.64,1.45
3,1981,10.31,2.39
0,1982,2.80,1.73
1,1982,8.99,1.63
2,1982,16.55,1.68
3,1982,11.08,2.85
0,1983,4.58,1.53
1,1983,8.08,2.26
2,1983,17.99,0.89
3,1983,10.85,1.55
0,1984,4.61,1.94
1,1984,7.95,1.62
2,1984,16.98,0.95
3,1984,11.47,2.58
0,1985,2.92,1.61
1,1985,8.60,1.80
2,1985,15.18,2.37
3,1985,10.18,0.86
0,1986,3.50,2.20
1,1986,7.86,1.64
2,1986,15.81,1.62
3,1986,10.56,1.80
0,1987,3.81,1.25
1,1987,8.76,1.77
2,1987,15.65,1.63
3,1987,10.57,2.61
0,1988,5.66,1.83
1,1988,9.42,1.30
2,1988,15.18,2.05
3,1988,10.23,1.37
0,1989,6.63,0.94
1,1989,9.94,1.45
2,1989,17.57,1.08
3,1989,11.54,1.47
0,1990,6.97,3.83
1,1990,10.26,0.43
2,1990,17.25,0.80
3,1990,11.38,1.06
0,1991,3.60,1.84
1,1991,9.41,1.10
2,1991,16.33,1.75
3,1991,10.98,1.61
0,1992,4.67,0.52
1,1992,10.56,1.56
2,1992,16.76,1.99
3,1992,10.14,3.03
0,1993,5.08,1.41
1,1993,9.81,1.51
2,1993,15.92,1.26
