date,nao,sst_index
19791005,-0.5827,1.1064
19791010,-0.7326,1.0696
19791015,0.0527,0.6439
19791020,0.5350,0.8865
19791025,-0.6566,1.1651
19791030,-1.1962,0.9425
19791104,0.4141,0.6083
19791109,0.3022,0.2886
19791114,0.0329,0.3072
19791119,-0.3962,0.5953
19791124,0.5522,0.8029
19791129,0.5651,0.6624
19791204,2.3313,0.1935
19791209,1.3019,-0.1930
19791214,0.1371,-0.2646
19791219,0.3722,-0.5133
19791224,-0.6075,-0.0588
19791229,-0.7894,-0.4543
19800103,-0.5775,-0.5494
19800108,-0.6327,-0.3016
19800113,-0.7783,-0.0886
19800118,-0.6669,-0.2698
19800123,-2.3940,-0.7304
19800128,-1.4444,-1.0935
19800202,-0.7352,-1.0870
19800207,-1.4805,-0.9452
19800212,-0.8454,-1.1361
19800217,0.8236,-0.8777
19800222,0.9295,-0.4460
19800227,-0.4265,-0.4613
19800303,0.7986,-0.0462
19800308,0.5293,0.2059
19800313,-0.3786,0.3467
19800318,-2.1217,0.1104
19800323,-1.9249,-0.2392
19800328,-1.0554,-0.3949
19801004,0.1712,1.7089
19801009,-0.2644,1.6464
19801014,-1.2826,1.2179
19801019,-0.6876,0.9171
19801024,-0.1748,0.9895
19801029,0.7519,1.0919
19801103,-0.5430,1.0772
19801108,-1.2478,0.7668
19801113,-0.7242,0.1209
19801118,0.0784,0.2768
19801123,0.0659,-0.0843
19801128,-1.4276,-0.2420
19801203,-1.0304,-0.6240
19801208,-0.4247,-0.5626
19801213,1.0997,-0.0772
19801218,0.7683,-0.0654
19801223,0.8050,0.1375
19801228,1.2080,0.0176
19810102,-0.0436,0.0020
19810107,-0.3208,-0.2024
19810112,0.2711,-0.1615
19810117,0.1993,-0.2555
19810122,-0.3314,-0.7622
19810127,0.4930,-0.8236
19810201,1.4052,-0.9296
19810206,1.9135,-0.5786
19810211,0.1363,-0.2256
19810216,0.1884,-0.0138
19810221,-1.9008,-0.0120
19810226,-2.1885,-0.3693
19810303,-2.4737,-0.9631
19810308,-0.9807,-1.0805
19810313,-0.1044,-1.4410
19810318,-1.5863,-1.5122
19810323,-0.3432,-1.6488
19810328,0.9704,-1.8025
19811004,-1.5302,-0.0237
19811009,-0.9142,0.2496
19811014,0.3053,0.0787
19811019,0.4947,-0.1970
19811024,0.1728,-0.1662
19811029,-0.0796,0.0790
19811103,0.2700,0.1654
19811108,0.0157,-0.1229
19811113,0.4499,-0.2878
19811118,-0.4739,-0.2833
19811123,-0.3936,-0.1446
19811128,-0.5938,0.1316
19811203,-0.2322,-0.2552
19811208,-1.5174,-0.7962
19811213,-0.7430,-0.8078
19811218,-0.9471,-0.8832
19811223,-0.8511,-1.0376
19811228,-2.0175,-0.8236
19820102,-2.5299,-0.8118
19820107,-1.9572,-0.9861
19820112,0.4852,-0.8863
19820117,-0.4513,-0.8385
19820122,-0.9978,-0.5739
19820127,0.4775,-0.5234
19820201,-0.5306,-0.9770
19820206,0.6536,-0.7037
19820211,1.7398,-0.1398
19820216,-0.4459,-0.1223
19820221,-0.0494,-0.1633
19820226,0.5347,-0.1786
19820303,1.7703,0.0373
19820308,1.3639,0.1065
19820313,0.5803,0.3437
19820318,-0.8568,0.3118
19820323,0.1434,0.2463
19820328,0.9523,0.4325
19821004,-0.4505,1.7947
19821009,-1.0854,1.9070
19821014,-0.5464,1.6829
19821019,0.3916,1.5084
19821024,0.7789,1.3345
19821029,-0.0256,1.2052
19821103,0.3365,1.1100
19821108,0.8797,1.1754
19821113,1.7057,1.4724
19821118,0.9499,1.4418
19821123,0.8697,1.6105
19821128,0.9286,1.6750
19821203,0.2497,1.5489
19821208,1.4420,1.8583
19821213,0.8076,1.6694
19821218,1.2021,1.8499
19821223,0.7846,1.7618
19821228,0.6317,2.0840
19830102,1.9225,1.7165
19830107,2.3833,1.9369
19830112,1.1981,2.1343
19830117,-0.3781,1.8476
19830122,0.6391,1.5349
19830127,1.5969,1.0740
19830201,-0.3895,1.6407
19830206,-1.1836,0.8875
19830211,-0.8672,0.2213
19830216,-1.5676,0.2575
19830221,-1.0808,0.2616
19830226,0.6354,0.0811
19830303,0.7653,0.1207
19830308,0.2281,-0.2311
19830313,0.2761,-0.7258
19830318,0.5783,-0.7304
19830323,-0.1824,-0.6243
19830328,-0.1516,-0.3380
19831004,0.6287,1.3763
19831009,1.1305,1.5227
19831014,0.8268,1.6534
19831019,0.6195,1.5616
19831024,0.7472,1.2529
19831029,1.7397,0.7914
19831103,0.7649,0.8771
19831108,-0.2630,1.0215
19831113,-1.3514,0.7622
19831118,-0.7628,0.3504
19831123,-0.3682,0.0138
19831128,-0.5042,0.0429
19831203,0.0785,-0.0522
19831208,-0.4308,-0.0424
19831213,0.2962,-0.1267
19831218,-0.7896,0.2589
19831223,-0.0083,0.2674
19831228,2.2376,0.1338
19840102,2.4816,-0.1529
19840107,0.6373,0.0442
19840112,1.7121,0.2358
19840117,0.9314,0.7292
19840122,0.1667,1.1650
19840127,-0.9396,1.2269
19840201,0.2011,0.7625
19840206,0.5908,1.1206
19840211,-0.1202,0.9705
19840216,-0.6070,0.9126
19840221,-0.9347,0.6958
19840226,-0.9486,0.4010
19840302,-0.5600,0.6043
19840307,-0.7835,0.5773
19840312,-1.9065,0.4198
19840317,-1.3382,0.3428
19840322,-1.2831,0.6980
19840327,-1.5913,0.6292
19841003,-0.1589,1.3316
19841008,0.5894,1.1680
19841013,-0.1381,1.1275
19841018,0.5947,1.2035
19841023,1.0077,1.6729
19841028,0.1094,2.0752
19841102,0.2390,2.1958
19841107,-1.2786,2.1323
19841112,-0.9833,1.3220
19841117,-1.4625,0.9997
19841122,0.1679,0.7186
19841127,0.9406,0.7397
19841202,-0.0753,1.1275
19841207,0.6817,1.1592
19841212,0.2821,1.0535
19841217,-0.0735,0.9021
