year,   cet,   nao
1900,  3.067, -0.618
1901,  4.333, 0.635
1902,  3.200, -0.458
1903,  5.300, 2.474
1904,  3.600, 0.784
1905,  4.167, 1.593
1906,  4.433, 1.914
1907,  3.133, 0.946
1908,  4.133, 1.267
1909,  3.433, 0.918
1910,  4.167, 1.979
1911,  5.000, 0.926
1912,  5.067, 0.645
1913,  5.333, 2.007
1914,  5.200, 1.421
1915,  4.333, 1.379
1916,  5.533, 1.734
1917,  1.467, -2.158
1918,  4.200, 0.198
1919,  3.900, 0.608
1920,  5.567, 2.364
1921,  5.433, 0.937
1922,  4.867, 1.931
1923,  5.667, 2.026
1924,  3.933, 0.164
1925,  5.767, 3.349
1926,  4.733, 0.940
1927,  4.233, 0.912
1928,  4.367, 1.141
1929,  1.700, -0.180
1930,  4.633, 1.570
1931,  3.800, 0.803
1932,  4.833, 0.311
1933,  4.067, 0.275
1934,  3.167, 0.640
1935,  6.133, 1.172
1936,  3.033, -1.678
1937,  5.367, 2.081
1938,  4.600, 0.715
1939,  4.733, 0.612
1940,  1.467, -1.422
1941,  2.600, -0.821
1942,  2.200, -0.301
1943,  5.900, 1.806
1944,  4.300, 0.552
1945,  3.700, 0.938
1946,  4.500, 0.718
1947,  1.133, -0.998
1948,  5.067, 0.492
1949,  5.633, 2.200
1950,  5.100, 1.322
1951,  2.933, -0.045
1952,  3.867, 1.203
1953,  3.467, 0.068
1954,  4.133, 0.275
1955,  3.533, -0.647
1956,  2.933, -1.068
1957,  5.500, 2.060
1958,  4.200, 0.074
1959,  3.567, -0.128
1960,  4.633, 0.094
1961,  4.900, 1.995
1962,  3.633, 0.497
1963, -0.333, -2.216
1964,  3.500, -0.763
1965,  3.333, -1.419
1966,  4.433, -0.050
1967,  5.133, 1.141
1968,  3.500, -0.138
1969,  3.167, -2.177
1970,  3.300, -0.109
1971,  4.433, -0.268
1972,  4.933, 0.011
1973,  4.867, 1.566
1974,  5.400, 0.926
1975,  6.433, 1.963
1976,  5.233, 0.158
1977,  3.333, -1.904
1978,  4.100, -0.596
1979,  1.567, -1.971
1980,  4.600, 0.325
1981,  4.500, 1.196
1982,  2.567, -0.221
1983,  4.267, 2.073
1984,  4.233, 1.700
1985,  2.700, -0.532
1986,  2.900, -1.000
1987,  3.533, 0.357
1988,  5.267, -0.128
1989,  6.500, 2.998
1990,  6.233, 2.126
1991,  3.033, 0.731
1992,  4.600, 1.688
1993,  4.700, 1.410
1994,  4.667, 1.176
1995,  5.900, 2.895
1996,  3.033, -2.240
1997,  4.033, -0.464
1998,  6.100, 0.651
1999,  5.433, 1.549
2000,  5.400, 2.282
2001,  4.467, -0.442
2002,  5.367, 1.023
2003,  4.700, 0.168
2004,  5.133, -0.629
2005,  5.233, 0.283
2006,  4.133, -0.718
2007,  6.433, 1.738
2008,  5.633, 1.666
2009,  3.533, -0.469
2010,  2.433, -3.344
2011,  3.133, -1.064
2012,  5.067, 2.176
2013,  3.833, 0.473
2014,  6.067, 2.190
2015,  4.533, 2.056
2016,  6.667, 2.331
2017,  5.367, 1.217
2018,  4.333, 0.907
2019,  5.867, 1.156
2020,  6.167, 2.852
