day ,  fcst ,   obs 
  1 ,   9.0 ,  10.0
  2 ,   5.0 ,   6.9
  3 ,   9.0 ,   9.0
  4 ,   7.0 ,   7.3
  5 ,   8.0 ,   9.3
  6 ,   8.0 ,   8.3
  7 ,   7.0 ,   9.4
  8 ,   9.0 ,   9.6
  9 ,  10.0 ,  11.1
 10 ,  10.0 ,  10.5
 11 ,   9.0 ,  10.2
 12 ,  10.0 ,  10.4
 13 ,   6.0 ,   6.0
 14 ,   5.0 ,   5.0
 15 ,   4.0 ,   5.8
 16 ,   3.0 ,   6.4
 17 ,   4.0 ,   4.5
 18 ,  10.0 ,  12.0
 19 ,   7.0 ,   9.1
 20 ,   7.0 ,   9.4
 21 ,   9.0 ,  10.3
 22 ,   9.0 ,  10.9
 23 ,   6.0 ,   7.9
 24 ,   8.0 ,   9.7
 25 ,   9.0 ,   9.8
 26 ,   6.0 ,   6.6
 27 ,   6.0 ,   7.7
 28 ,   6.0 ,   6.1
 29 ,   4.0 ,   3.2
 30 ,   3.0 ,   3.3
 31 ,   2.0 ,   2.3
 32 ,   3.0 ,   3.1
 33 ,   1.0 ,   1.2
 34 ,   1.0 ,   0.4
 35 ,   2.0 ,   1.7
 36 ,   4.0 ,   2.0
 37 ,   3.0 ,   3.4
 38 ,   4.0 ,   3.1
 39 ,   2.0 ,  -0.1
 40 ,   1.0 ,  -0.1
 41 ,   3.0 ,   0.3
 42 ,   2.0 ,   0.7
 43 ,   4.0 ,   4.1
 44 ,   7.0 ,   6.3
 45 ,   6.0 ,   8.4
 46 ,   8.0 ,  10.4
 47 ,   8.0 ,  10.2
 48 ,   9.0 ,  12.0
 49 ,   9.0 ,   8.7
 50 ,   6.0 ,   6.1
 51 ,   7.0 ,   7.6
 52 ,  10.0 ,  10.9
 53 ,  10.0 ,   8.4
 54 ,  14.0 ,  15.6
 55 ,  12.0 ,  12.3
 56 ,   8.0 ,  10.4
 57 ,  10.0 ,  11.3
 58 ,  10.0 ,  10.7
 59 ,  12.0 ,  10.6
 60 ,  10.0 ,  12.2
 61 ,   9.0 ,  12.7
 62 ,  11.0 ,   9.8
 63 ,  11.0 ,  12.9
 64 ,   5.0 ,   2.9
 65 ,   8.0 ,   9.0
 66 ,   8.0 ,   9.9
 67 ,   7.0 ,  10.5
 68 ,   8.0 ,  11.7
 69 ,  11.0 ,  10.2
 70 ,  14.0 ,  14.5
 71 ,  13.0 ,  15.4
 72 ,  11.0 ,  13.1
 73 ,  10.0 ,   8.3
 74 ,   9.0 ,  10.2
 75 ,   nan ,  13.9
 76 ,  11.0 ,   8.7
 77 ,   9.0 ,  10.8
 78 ,   nan ,   7.7
 79 ,  11.0 ,  12.3
 80 ,  12.0 ,  13.4
 81 ,  13.0 ,  14.9
 82 ,  16.0 ,  17.6
 83 ,  13.0 ,  18.8
 84 ,  15.0 ,  19.5
 85 ,  13.0 ,  16.0
 86 ,  15.0 ,  18.4
 87 ,  17.0 ,  18.4
 88 ,  18.0 ,   nan
 89 ,  18.0 ,   nan
 90 ,  15.0 ,  13.7
 91 ,  12.0 ,  10.7
 92 ,  11.0 ,  12.0
 93 ,  11.0 ,  13.0
 94 ,  10.0 ,  11.9
 95 ,   5.0 ,   8.8
