day of year,ff_ms
1,3.5
2,2.5
3,2.7
4,0
5,0.7
6,1.9
7,1.7
8,1.2
9,4.5
10,4.2
11,4.4
12,5.2
13,1
14,3.1
15,3.2
16,2.9
17,1.9
18,1
19,1
20,0.7
21,2.7
22,0
23,0.3
24,1.9
25,2.3
26,1.7
27,1.4
28,4.3
29,3.1
30,2.7
31,3.5
32,5.4
33,1.1
34,2.3
35,1.5
36,1.3
37,3.1
38,1.7
39,1.4
40,1.3
41,0
42,1.6
43,0.3
44,3.4
45,1.7
46,1.5
47,1.8
48,1.1
49,2
50,4.6
51,0
52,2.2
53,2.1
54,5
55,4.7
56,2.7
57,4.7
58,3.3
59,4
60,6.1
61,5.8
62,2.1
63,3.2
64,2.5
65,1.7
66,4.7
67,4.2
68,1.8
69,1.5
70,2.2
71,2.4
72,2.3
73,4.4
74,3
75,1.4
76,1.2
77,2.4
78,1.9
79,1.5
80,2.8
81,2.9
82,2.4
83,2
84,1.7
85,2.7
86,1.7
87,3.4
88,5.2
89,3.8
90,5.4
91,4.3
92,1.6
93,1.4
94,3.6
95,0.7
96,1.7
97,1.8
98,0.8
99,1.6
100,1.4
101,2.9
102,5.9
103,1.2
104,3.2
105,0
106,3
107,4
108,3.7
109,3.5
110,2.4
111,2.6
112,3.1
113,1.8
114,2.9
115,3.1
116,2.2
117,0.2
118,4.6
119,4.9
120,4.1
121,3.7
122,2.8
123,3.1
124,3.4
125,5.8
126,5.9
127,2.2
128,1.7
129,5
130,3.1
131,3.8
132,3
133,1.2
134,2.8
135,1.4
136,4.4
137,3.1
138,4.2
139,4.6
140,2.9
141,2.7
142,2.1
143,1.9
144,2.9
145,2.2
146,2.8
147,1.4
148,4
149,3.6
150,2.9
151,3
152,3.8
153,4.7
154,2.2
155,1
156,2.6
157,4.5
158,1.6
159,1.5
160,4.1
161,3.6
162,3.2
163,1.2
164,2.9
165,1.2
166,2.1
167,1.5
168,2.1
169,3.1
170,2.4
171,1.8
172,2.7
173,2
174,1.6
175,1.7
176,1
177,1.5
178,2
179,2.4
180,2
181,2.8
182,2.6
183,1.6
184,2.1
185,4.5
186,0.7
187,2.6
188,2.3
189,3.9
190,2.6
191,1.9
192,3.5
193,3.6
194,2.1
195,1.8
196,2.5
197,2.3
198,4.8
199,2.5
200,4.4
201,1
202,2.4
203,3.6
204,1.8
205,1.2
206,3.6
207,1.6
208,4.4
209,3
210,2.7
211,2.8
212,1.2
213,2.2
214,2.1
215,3.7
216,4.7
217,1.6
218,2.3
219,1
220,1.4
221,2.2
222,3.2
223,0.6
224,2.8
225,3.5
226,1.7
227,2.4
228,1.1
229,1.1
230,1.8
231,2.5
232,1.5
233,2.4
234,2
235,2.5
236,2.2
237,1.2
238,3.4
239,3.4
240,2.7
241,1
242,2.1
243,1.1
244,1.8
245,2
246,1.7
247,1.2
248,1.8
249,1.7
250,1.1
251,2.2
252,2.6
253,2.7
254,2.1
255,4.5
256,1.4
257,2.1
258,3.3
259,3
260,1.9
261,1.2
262,1.3
263,1.4
264,2
265,1.9
266,2.3
267,3.3
268,2.2
269,0.8
270,1.6
271,2.1
272,2.6
273,2.8
274,3.1
275,2.1
276,1.2
277,0.6
278,1.6
279,2.1
280,2.7
281,1.4
282,0
283,1.9
284,2.8
285,1.5
286,3.1
287,1.3
288,2.8
289,2.8
290,2.1
291,1.4
292,1.8
293,1.2
294,2.6
295,3.3
296,1.5
297,2.4
298,0.9
299,2.1
300,2.5
301,0.9
302,2.1
303,2.4
304,1.9
305,1
306,1.1
307,1.5
308,0.8
309,1.7
310,3.3
311,6.3
312,1.3
313,2.8
314,4
315,3.2
316,1.2
317,4.5
318,1.4
319,5.7
320,2.7
321,3.5
322,4.5
323,2.7
324,1.9
325,5.7
326,0.6
327,0.7
328,2.3
329,1.9
330,1
331,3.1
332,2
333,5.7
334,4.8
335,2.5
336,3.4
337,3.7
338,3.2
339,5.3
340,4.4
341,2.3
342,3.4
343,1.4
344,3.6
345,2.1
346,1.9
347,1.8
348,2.2
349,1.4
350,4.4
351,3.5
352,2.4
353,4
354,3.8
355,3.2
356,6.5
357,2.2
358,5.9
359,1.7
360,4.4
361,4.4
362,2.4
363,1.4
364,6.8
365,2.6
